# 
#                                CLASSICAL CEPHEIDS IN THE MILKY WAY
# 
#                        Pietrukowicz et al. (2021, Acta Astronomica, 71, 205)
# 
#     List updated in April 2024.     Number of classical Cepheids in the list:  3,647
#
# 
#Source              Name                      RA(2000.0)   Dec(2000.0)  RA[deg]     Dec[deg]    l[deg]      b[deg]      Mode(s)  P_F[day]   P_1O[day]  P_2O[day]  P_3O[day]  Bands  OGLE              OGLE-II           OGLE-III          OGLE-IV           ASAS           ASASSN-V             Gaia-DR3             G[mag]
#***************************************************************************************************************************************************************************************************************************************************************************************************************************
ZTF-DR2              J005146.41+614834.5       00:51:46.40  +61:48:34.4   12.943347   61.809549  122.971545   -1.062175  1O       0          1.4598717  0          0          Gr     -                 -                 -                 -                 -              -                    427499088772191744   17.083
ZTF-DR2              J005257.91+630935.3       00:52:57.91  +63:09:35.3   13.241291   63.159803  123.104309    0.288565  1O       0          1.2919892  0          0          Gr     -                 -                 -                 -                 -              -                    523665163183081728   14.607
GCVS                 AU____Cas                 00:55:12.93  +64:15:38.7   13.803871   64.260753  123.342152    1.392012  F        5.6159290  0          0          0          GV     -                 -                 -                 -                 -              279110               524192787020949376   12.260
ZTF-DR2              J005525.80+594339.1       00:55:25.81  +59:43:39.1   13.857546   59.727528  123.435794   -3.140316  1O       0          0.6990864  0          0          Gr     -                 -                 -                 -                 -              -                    426097765508018560   13.673
ASASSN-V             J005641.01+623317.5       00:56:41.01  +62:33:17.5   14.170877   62.554848  123.536308   -0.310746  F        5.6341380  0          0          0          GVr    -                 -                 -                 -                 -              J005641.01+623317.5  523585448588373888   14.582
ASASSN-V             J005732.51+630923.1       00:57:32.51  +63:09:23.2   14.385453   63.156434  123.620926    0.292851  F        2.4889060  0          0          0          GV     -                 -                 -                 -                 -              467789               523700107035878272   13.971
ZTF-DR2              J005812.05+644507.6       00:58:12.05  +64:45:07.6   14.550203   64.752116  123.653379    1.889841  1O       0          1.1378142  0          0          Gr     -                 -                 -                 -                 -              -                    524279137342381696   15.588
GCVS                 DQ____And                 00:59:34.48  +45:24:24.2   14.893649   45.406719  124.428726  -17.441382  F        3.2007914  0          0          0          GVc    -                 -                 -                 -                 -              51052                377753613615880832   11.546
ZTF-DR2              J005935.63+632823.1       00:59:35.63  +63:28:23.1   14.898475   63.473079  123.842470    0.615750  1O       0          2.4798478  0          0          Gg     -                 -                 -                 -                 -              -                    523731374398529536   11.760
ZTF-DR2              J010139.98+603539.4       01:01:39.98  +60:35:39.4   15.416604   60.594264  124.188098   -2.252535  F        1.6247380  0          0          0          Gr     -                 -                 -                 -                 -              -                    426580107514101376   14.836
NSVS                 1644365                   01:02:25.69  +64:36:57.0   15.607057   64.615830  124.109959    1.769222  1O       0          3.3852203  0          0          GV     -                 -                 -                 -                 -              339198               524282435878096256   11.875
Gaia-DR3             523506146309330048        01:03:17.77  +64:24:44.7   15.824057   64.412411  124.212307    1.570146  F        2.8188232  0          0          0          G      -                 -                 -                 -                 -              -                    523506146309330048   15.851
ZTF-DR2              J010331.42+660432.5       01:03:31.43  +66:04:32.3   15.880939   66.075641  124.158690    3.232684  F        7.7901034  0          0          0          Gr     -                 -                 -                 -                 -              -                    525956579769119744   14.195
Gaia-DR3             523287961970713728        01:04:59.14  +63:11:37.9   16.246403   63.193860  124.458652    0.362278  1O       0          0.5179560  0          0          G      -                 -                 -                 -                 -              -                    523287961970713728   14.922
ZTF-DR2              J010508.27+635308.4       01:05:08.27  +63:53:08.3   16.284438   63.885644  124.438994    1.053990  1O       0          1.6475935  0          0          Gr     -                 -                 -                 -                 -              -                    523380419725001216   13.228
Gaia-DR3             522750300789109376        01:05:18.23  +62:01:31.7   16.325971   62.025477  124.557362   -0.802503  F        2.1635567  0          0          0          G      -                 -                 -                 -                 -              -                    522750300789109376   15.070
GCVS                 VW____Cas                 01:05:48.22  +61:45:17.8   16.450925   61.754933  124.630980   -1.069415  F        5.9937751  0          0          0          GV     -                 -                 -                 -                 -              205500               522737141009400192   10.329
ZTF-DR2              J010734.10+672638.9       01:07:34.11  +67:26:38.9   16.892130   67.444126  124.482733    4.620960  1O       0          2.0043271  0          0          Gr     -                 -                 -                 -                 -              -                    526505476588832000   13.719
ZTF-DR2              J010751.54+641156.8       01:07:51.54  +64:11:56.8   16.964760   64.199113  124.718004    1.384326  F        2.9925878  0          0          0          Gr     -                 -                 -                 -                 -              -                    523460654015151488   15.573
GCVS                 V553__Cas                 01:08:10.99  +62:16:11.7   17.045790   62.269914  124.878566   -0.538527  F        4.9003221  0          0          0          GV     -                 -                 -                 -                 -              205831               522686013718197504   12.582
GCVS                 UZ____Cas                 01:12:41.16  +61:12:48.1   18.171504   61.213353  125.488045   -1.552897  F        4.2595945  0          0          0          GV     -                 -                 -                 -                 -              311462               522468168674975616   11.081
GCVS                 OZ____Cas                 01:14:19.53  +62:02:38.5   18.581384   62.044032  125.611031   -0.708601  F        5.0791375  0          0          0          GV     -                 -                 -                 -                 -              324289               522609765154882688   11.933
ASASSN-V             J011429.92+643910.3       01:14:30.05  +64:39:10.4   18.625218   64.652885  125.398180    1.891631  1O       0          2.1187670  0          0          GVr    -                 -                 -                 -                 -              AP4539715            524799786155513984   12.529
ZTF-DR2              J011437.31+624448.8       01:14:37.31  +62:44:48.8   18.655456   62.746877  125.582447   -0.005499  1O       0          2.3163527  0          0          Gr     -                 -                 -                 -                 -              -                    523037548197428736   14.436
GCVS                 BP____Cas                 01:15:01.09  +65:35:57.9   18.754556   65.599405  125.366683    2.839190  F        6.2721399  0          0          0          GV     -                 -                 -                 -                 -              338148               525136962570940160   10.245
ZTF-DR2              J011530.83+643432.5       01:15:30.84  +64:34:32.5   18.878492   64.575684  125.513424    1.824679  1O       0          1.3124450  0          0          Gr     -                 -                 -                 -                 -              -                    524795426774462592   15.352
GCVS                 AW____Cas                 01:16:01.20  +61:37:14.5   19.005018   61.620705  125.849144   -1.111729  F        4.2782594  0          0          0          GV     -                 -                 -                 -                 -              312178               510584788742165760   11.382
ASASSN-V             J011609.04+592835.5       01:16:09.06  +59:28:35.9   19.037746   59.476628  126.070317   -3.244446  1O       0          2.1015728  0          0          GVr    -                 -                 -                 -                 -              AP3123844            414219672672011392   13.576
ZTF-DR2              J011653.44+624633.4       01:16:53.43  +62:46:33.4   19.222644   62.775954  125.838150    0.047917  F        7.9225692  0          0          0          Gr     -                 -                 -                 -                 -              -                    523028855183898496   14.017
ZTF-DR2              J011841.31+621934.2       01:18:41.31  +62:19:34.1   19.672143   62.326151  126.090196   -0.378376  1O       0          5.9534908  0          0          Gr     -                 -                 -                 -                 -              -                    511003320409595264   13.164
Gaia-DR3             524686643840675840        01:19:24.72  +63:59:08.6   19.852984   63.985733  125.993845    1.280417  F        2.7349470  0          0          0          G      -                 -                 -                 -                 -              -                    524686643840675840   14.772
